NAME,LONGITUDE,LATITUDE,NEIGHBORHOOD_NAME,COUNTY_NAME
Ata Garajı Parkı,28.9182755822572,41.000896431652,KAZLIÇEŞME,ZEYTİNBURNU
Şehit Binbaşı Ömer Aktuğ Parkı,29.1563808720086,40.990823262527,MEVLANA,ATAŞEHİR
Yaren Parkı,29.1367648176739,40.9949963698233,YENİŞEHİR,ATAŞEHİR
Şehit Er Girol Alpago Parkı,28.8213363172496,41.0117969736671,YENİBOSNA MERKEZ,BAHÇELİEVLER
Kadirova Parkı,29.3288368334866,41.0853091182202,ÖMERLİ,ÇEKMEKÖY
1414 Sok. Parkı,28.8955118362697,41.1038864947419,GAZİ,SULTANGAZİ
Sirkeci Tramvay Yanı Yeşil Alan,28.9767386089658,41.0142617300763,HOCAPAŞA,FATİH
Filiz Parkı,29.315252463539,40.82196602211,CAMİ,TUZLA
Kamilya Parkı,29.07485086701,41.0339056934709,FERAH,ÜSKÜDAR
Nene Hatun Parkı,29.2306634406756,41.0168197789758,AYDINLAR,ÇEKMEKÖY
Barış Manço Parkı,29.2268267917741,41.0212378240227,CUMHURİYET,ÇEKMEKÖY
Mehmet Akif Ersoy Parkı,28.8934738806877,41.1760653451741,GÖKTÜRK MERKEZ,EYÜPSULTAN
Fen Sok. Parkı,29.2582826758509,40.892650640337,VELİBABA,PENDİK
Tunuslu Mahmut Paşa Parkı,29.0526509680218,41.0255159872778,BURHANİYE,ÜSKÜDAR
Çamlık Parkı,29.0728320542298,41.0190967859615,BULGURLU,ÜSKÜDAR
Yıldırım Beyazıd Parkı,29.0743116000147,41.0517273925568,GÜZELTEPE,ÜSKÜDAR
Küplüce Parkı,29.0509581919577,41.036485837348,KÜPLÜCE,ÜSKÜDAR
Gülseve Parkı,29.0313354559773,41.0236412502715,MURATREİS,ÜSKÜDAR
Şehitler Parkı,29.0524003868981,41.0170537462846,ALTUNİZADE,ÜSKÜDAR
Aydınlar Parkı,29.2280796326054,41.01864997423,AYDINLAR,ÇEKMEKÖY
Şehit Binbaşı Ömer Aktuğ Parkı,29.1756000642342,41.0346686987721,MERKEZ,ÇEKMEKÖY
Esenyalı Çocuk Parkı,29.293823605297,40.8587098728286,ESENYALI,PENDİK
Adnan Menderes Parkı,28.8708456304034,41.0887652365542,50. YIL,SULTANGAZİ
Çocuk Parkı,28.9091450068438,41.2542617222214,ÇİFTALAN,EYÜPSULTAN
Oğuzhan Sok. Parkı,28.831542557654,41.005824466399,FEVZİ ÇAKMAK,BAHÇELİEVLER
