PLAY_DATE,PLAY_NAME,THEATER_NAME,PLAY_CATEGORY,IS_GUEST_PLAY,PLAY_TYPE,LONGITUDE,LATITUDE,NUMBER_OF_AUDIENCE
2018-05-11,FIRTINA (GENÇ TİYATRO - İBB ŞEHİR TİYATROLARI),Kadıköy Haldun Taner Sahnesi,Yetişkin,1,Yerli,29.023408,40.99177,8
2019-04-03,POLLYANNA,Harbiye Muhsin Ertuğrul Sahnesi,Çocuk,0,Yabancı,28.988829,41.046788,199
2019-10-09,ŞAHANE ZÜĞÜRTLER,Ümraniye Sahnesi,Yetişkin,0,Yabancı,29.104798,41.025025,16
2018-01-19,ON İKİ ÖFKELİ ADAM,Ümraniye Sahnesi,Yetişkin,0,Yabancı,29.104798,41.025025,183
2018-11-01,ŞAHANE ZÜĞÜRTLER,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yabancı,29.0129,41.019561,16
2017-12-23,SIZI,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yerli,29.0129,41.019561,11
2019-05-14,BİR YAZDÖNÜMÜ GECESİ RÜYASI (İTALYAN LİSESİ),Ümraniye Sahnesi,Yetişkin,1,Yabancı,29.104798,41.025025,22
2020-11-01,UZLAŞMA,Ümraniye Sahnesi,Yetişkin,0,Yabancı,29.104798,41.025025,2
2019-01-31,KARAGÖZ ÇİFTLİK BEKÇİSİ,Sultangazi Hoca Ahmet Yesevi Sahnesi,Çocuk,0,Yerli,28.8765777,41.09774468,24
2019-05-06,ÇALIŞKUŞU (CAĞALOĞLU LİSESİ),Kağıthane Sadabad Sahnesi,Yetişkin,1,Yabancı,28.970972,41.079366,2
2018-03-03,HAYAL-İ TEMSİL,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yerli,29.023408,40.99177,71
2019-11-11,VAHŞİ BATI,Sultangazi Hoca Ahmet Yesevi Sahnesi,Yetişkin,0,Yabancı,28.8765777,41.09774468,24
2018-11-16,BİZİM AİLE,Kağıthane Sadabad Sahnesi,Müzikal,0,Yerli,28.970972,41.079366,80
2020-01-19,PERİKIZ,Kağıthane Sadabad Sahnesi,Çocuk,0,Yerli,28.970972,41.079366,76
2018-01-16,BİSKÜVİ ADAM,Kağıthane Sadabad Sahnesi,Çocuk,0,Yabancı,28.970972,41.079366,169
2019-06-03,HASTALIK HASTASI,Harbiye Cemil Topuzlu Açıkhava Sahnesi,Yetişkin,0,Yabancı,28.99044,41.045777,15
2017-11-01,KOMİK-İ ŞEHİR NAŞİT BEY,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.0159,54
2020-11-05,MELEK,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yerli,29.023408,40.99177,2
2019-02-02,MACBETH,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yabancı,28.970972,41.079366,90
2019-11-24,"AY, CARMELA!",Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yabancı,28.956194,41.0159,7
2019-10-05,BİZİM AİLE,Ümraniye Sahnesi,Müzikal,0,Yerli,29.104798,41.025025,21
2018-04-01,SON,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yerli,29.0129,41.019561,10
2018-02-24,MAKEDONYA GAMZESİ,Üsküdar Musahipzade Celãl Sahnesi,Müzikal,0,Yerli,29.0129,41.019561,55
2020-01-16,TATLI KAÇIK,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yabancı,28.988829,41.046788,39
2018-02-02,BAK BİZİM ŞARKIMIZI ÇALIYORLAR,Kağıthane Sadabad Sahnesi,Müzikal,0,Yabancı,28.970972,41.079366,104
2019-12-26,KARAGÖZ ÇİFTLİK BEKÇİSİ,Gaziosmanpaşa Ferih Egemen Çocuk Tiyatrosu Sahnesi,Çocuk,0,Yerli,28.916482,41.057846,2
2018-04-02,MATRUŞKA,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yerli,29.023408,40.99177,1
2018-02-04,SAADET HANIM,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yerli,28.916482,41.057846,12
2019-04-09,"TİYATRO GÜLGEÇ ""SOĞUKTAN KORKMAYAN TEK KUŞ""",Gaziosmanpaşa Ferih Egemen Çocuk Tiyatrosu Sahnesi,Çocuk,0,Yabancı,28.916482,41.057846,8
2020-02-21,ELMA KURDU KIRTIK,Gaziosmanpaşa Ferih Egemen Çocuk Tiyatrosu Sahnesi,Çocuk,0,Yerli,28.916482,41.057846,42
2019-12-29,GEÇ KALANLAR,Ümraniye Sahnesi,Yetişkin,0,Yerli,29.104798,41.025025,8
2020-02-06,NORA - BİR BEBEK EVİ,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yabancı,28.916482,41.057846,36
2019-11-20,TATLI KAÇIK,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yabancı,28.916482,41.057846,111
2019-02-13,PALYAÇO PRENS,Sultangazi Hoca Ahmet Yesevi Sahnesi,Çocuk,0,Yerli,28.8765777,41.09774468,14
2019-05-10,ÖTEKİ BEN (İBBŞT GENÇ TİYATRO),Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,1,Yabancı,28.988829,41.046788,11
2018-04-04,MEVLANA'DAN ÖYKÜLER,Kağıthane Sadabad Sahnesi,Çocuk,0,Yerli,28.970972,41.079366,10
2017-10-15,YANGIN YERİNDE ORKİDELER,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yerli,28.916482,41.057846,44
2019-12-17,ELMA KURDU KIRTIK,Ümraniye Sahnesi,Çocuk,0,Yerli,29.104798,41.025025,10
2019-04-06,PALYAÇO PRENS,Kağıthane Sadabad Sahnesi,Çocuk,0,Yerli,28.970972,41.079366,105
2018-04-15,NORA - BİR BEBEK EVİ,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yabancı,28.956194,41.0159,14
2020-10-18,KIRMIZI'NIN HAYALİ / PAT ATÖLYE," PAT ATÖLYE",Çocuk,0,Yerli,28.970972,41.079366,15
2018-10-13,ŞAHANE ZÜĞÜRTLER,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yabancı,28.988829,41.046788,25
2019-03-21,AŞK BİR ZAMANLAR (GAZALE),Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yerli,29.0129,41.019561,28
2018-09-29,İKİ ARADA BİR YERDE,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yabancı,28.970972,41.079366,8
2019-01-29,POLLYANNA,Harbiye Muhsin Ertuğrul Sahnesi,Çocuk,0,Yabancı,28.988829,41.046788,124
2018-12-27,HARİKALAR MUTFAĞI,Sultangazi Hoca Ahmet Yesevi Sahnesi,Çocuk,0,Yerli,28.8765777,41.09774468,57
