institution_id,district_tr,district_eng,institution_name,latitude,longitude,neighborhood_tr,neighborhood_eng,institution_type_tr,institution_type_eng,care_type
2745,Eyüpsultan,Eyupsultan,Murat Münzevi Parkı,41.039748765739,28.9305912627288,NİŞANCI,NISANCI,Park,Park,genellestirilmis
2746,Başakşehi̇r,Basaksehir,Yeşiltepe Parkı,41.0678366990007,28.6725978595236,BAHÇEŞEHİR 2. KISIM,BAHCESEHIR 2. KISIM,Park,Park,genellestirilmis
2747,Sultanbeyli̇,Sultanbeyli,Şehit Fatih Efiloğlu Parkı,40.9942562309634,29.2727990275164,MİMAR SİNAN,MIMAR SINAN,Park,Park,genellestirilmis
2748,Eyüpsultan,Eyupsultan,Güngören Parkı,41.0800688019169,28.9383299475462,ÇIRÇIR,CIRCIR,Park,Park,genellestirilmis
2749,Eyüpsultan,Eyupsultan,Şehit Ali Bekdemir Parkı,41.0816977226407,28.9416235468863,ÇIRÇIR,CIRCIR,Park,Park,genellestirilmis
2750,Eyüpsultan,Eyupsultan,Şehit İbrahim Candemir Parkı,41.0803903070167,28.9324805065341,ÇIRÇIR,CIRCIR,Park,Park,genellestirilmis
2751,Sancaktepe,Sancaktepe,Yaşar Kemal Parkı,41.0039653142946,29.1996278785653,EMEK,EMEK,Park,Park,genellestirilmis
2752,Eyüpsultan,Eyupsultan,Akşemsettin Parkı,41.0852745078154,28.9229816390494,AKŞEMSETTİN,AKSEMSETTIN,Park,Park,genellestirilmis
2753,Ümrani̇ye,Umraniye,Kuğu Parkı,41.0150483944877,29.1601083625922,YUKARI DUDULLU,YUKARI DUDULLU,Park,Park,genellestirilmis
2754,Üsküdar,Uskudar,Necmettin Öztürk Parkı,41.0267014846936,29.0242105769125,SELAMİ ALİ,SELAMI ALI,Park,Park,genellestirilmis
2755,Sancaktepe,Sancaktepe,Necip Fazıl Kısakürek Parkı,41.0029026159538,29.2190292205332,KEMAL TÜRKLER,KEMAL TURKLER,Park,Park,genellestirilmis
2756,Kartal,Kartal,Lale Parkı,40.923059658481,29.2160959388354,GÜMÜŞPINAR,GUMUSPINAR,Park,Park,genellestirilmis
2757,Başakşehi̇r,Basaksehir,Başakşehir 1. Etap Yürüyüş Yolu Parkı,41.0979536975756,28.7891050931087,BAŞAKŞEHİR,BASAKSEHIR,Park,Park,genellestirilmis
2758,Başakşehi̇r,Basaksehir,Başakşehir 1. Etap Kalyon Parkı,41.0946066293944,28.7894703646199,BAŞAKŞEHİR,BASAKSEHIR,Park,Park,genellestirilmis
2759,Kartal,Kartal,Mercan Parkı,40.9055322267638,29.1849387964646,ESENTEPE,ESENTEPE,Park,Park,genellestirilmis
2760,Beykoz,Beykoz,Şehit Onbaşı Murat Akgül Parkı,41.1306093635706,29.0941981293818,GÜMÜŞSUYU,GUMUSSUYU,Park,Park,genellestirilmis
2761,Kartal,Kartal,Melek Parkı,40.9196448055641,29.1890999061586,SOĞANLIK YENİ,SOGANLIK YENI,Park,Park,genellestirilmis
2762,Kartal,Kartal,Anafartalar Parkı,40.910592540083,29.1754759003985,CEVİZLİ,CEVIZLI,Park,Park,genellestirilmis
2763,Eyüpsultan,Eyupsultan,Nazırağa Yokuşu Parkı,41.0410921094295,28.9324892666248,NİŞANCI,NISANCI,Park,Park,genellestirilmis
2764,Kartal,Kartal,Ayhan Songar Parkı,40.9155331882935,29.1657211327987,CEVİZLİ,CEVIZLI,Park,Park,genellestirilmis
2765,Beykoz,Beykoz,Çubuklu Engürü Bağı Parkı,41.1004737677624,29.0788467983399,ÇUBUKLU,CUBUKLU,Park,Park,genellestirilmis
2766,Başakşehi̇r,Basaksehir,9 Nolu Park,41.0703944972528,28.6943112661981,BAHÇEŞEHİR 1. KISIM,BAHCESEHIR 1. KISIM,Park,Park,genellestirilmis
2767,Kartal,Kartal,Abdullah Horuz Parkı,40.909496739063,29.1542195811172,ORHANTEPE,ORHANTEPE,Park,Park,genellestirilmis
2768,Başakşehi̇r,Basaksehir,6 Nolu Park,41.0699493837584,28.6999255765606,BAHÇEŞEHİR 1. KISIM,BAHCESEHIR 1. KISIM,Park,Park,genellestirilmis
2769,Kartal,Kartal,Necip Fazıl Kısakürek Parkı,40.9117725078096,29.1601145795712,ORHANTEPE,ORHANTEPE,Park,Park,genellestirilmis
2770,Ümrani̇ye,Umraniye,Gençlik Parkı,41.0193298231793,29.1102698270056,ATAKENT,ATAKENT,Park,Park,genellestirilmis
2771,Kartal,Kartal,Orkide Parkı,40.9108787856351,29.2263211697478,HÜRRİYET,HURRIYET,Park,Park,genellestirilmis
2772,Kartal,Kartal,Yıldız Parkı,40.9097599626573,29.2184990408433,CUMHURİYET,CUMHURIYET,Park,Park,genellestirilmis
2773,Kartal,Kartal,Atatürk Parkı,40.8943577128972,29.2126761315449,YUNUS,YUNUS,Park,Park,genellestirilmis
2774,Sultanbeyli̇,Sultanbeyli,Park,40.9558555363926,29.2789855245526,FATİH,FATIH,Park,Park,genellestirilmis
2775,Beşi̇ktaş,Besiktas,Yonca Parkı,41.0811692044552,29.0246833260042,AKAT,AKAT,Park,Park,genellestirilmis
2776,Eyüpsultan,Eyupsultan,Şehit Soner Baykuş Parkı,41.0773349157135,28.9332437196235,KARADOLAP,KARADOLAP,Park,Park,genellestirilmis
2777,Beşi̇ktaş,Besiktas,Sanatçılar Parkı,41.082809123955,29.0297761419255,AKAT,AKAT,Park,Park,genellestirilmis
2778,Kartal,Kartal,Çitlenbik Parkı,40.9164011652079,29.2046830801186,GÜMÜŞPINAR,GUMUSPINAR,Park,Park,genellestirilmis
2779,Ümrani̇ye,Umraniye,Sevgi Parkı,41.0217862078002,29.1043895313546,İSTİKLAL,ISTIKLAL,Park,Park,genellestirilmis
2780,Arnavutköy,Arnavutkoy,Adnan Menderes Parkı,41.1914882643848,28.7366601533818,NENEHATUN,NENEHATUN,Park,Park,genellestirilmis
2781,Ümrani̇ye,Umraniye,Atlas Parkı,41.0242744563001,29.1040527138683,İSTİKLAL,ISTIKLAL,Park,Park,genellestirilmis
2782,Bahçeli̇evler,Bahcelievler,Atilla Gökçe Parkı,41.0099338432713,28.819387706039,YENİBOSNA MERKEZ,YENIBOSNA MERKEZ,Park,Park,genellestirilmis
2783,Ümrani̇ye,Umraniye,Akşemsettin Parkı,41.0119918823281,29.102446897663,ATAKENT,ATAKENT,Park,Park,genellestirilmis
2784,Beşi̇ktaş,Besiktas,Barış Parkı,41.0708254211421,29.019019231762,NİSBETİYE,NISBETIYE,Park,Park,genellestirilmis
2785,Ümrani̇ye,Umraniye,Muhtarlık Parkı,41.0168721487272,29.1047832856345,ATAKENT,ATAKENT,Park,Park,genellestirilmis
2786,Kartal,Kartal,Zambak Parkı,40.8935978245972,29.1813120049739,PETROL İŞ,PETROL IS,Park,Park,genellestirilmis
2787,Ümrani̇ye,Umraniye,Arif Nihat Asya Parkı,41.0179700580117,29.1075667574925,ATAKENT,ATAKENT,Park,Park,genellestirilmis
2788,Arnavutköy,Arnavutkoy,Dicle Parkı,41.2428735658877,28.5920394725184,YASSIÖREN,YASSIOREN,Park,Park,genellestirilmis
2789,Ümrani̇ye,Umraniye,Pazarcık Parkı,41.0205294789206,29.1132389955962,ATAKENT,ATAKENT,Park,Park,genellestirilmis
2790,Eyüpsultan,Eyupsultan,Okur Sok. Parkı,41.044399937431,28.9241339342925,DÜĞMECİLER,DUGMECILER,Park,Park,genellestirilmis
2791,Ümrani̇ye,Umraniye,Akdeniz Parkı,41.0104069717991,29.105867676083,ARMAĞANEVLER,ARMAGANEVLER,Park,Park,genellestirilmis
2792,Pendi̇k,Pendik,Orhangazi İÖO Yanı Parkı,40.9255677037129,29.2984392294712,YENİŞEHİR,YENISEHIR,Park,Park,genellestirilmis
2793,Sultanbeyli̇,Sultanbeyli,Bahariye Parkı,40.9560594051522,29.3053052860679,MECİDİYE,MECIDIYE,Park,Park,genellestirilmis
2794,Ümrani̇ye,Umraniye,Aşık Sümmani Parkı,41.0195965524745,29.1196112876625,ARMAĞANEVLER,ARMAGANEVLER,Park,Park,genellestirilmis
2795,Sultanbeyli̇,Sultanbeyli,Demokrasi Parkı,40.9531244775819,29.3011312170676,MECİDİYE,MECIDIYE,Park,Park,genellestirilmis
2796,Sancaktepe,Sancaktepe,Şehit Zafer Korkmaz Parkı,41.0201344349667,29.2489707254533,YUNUS EMRE,YUNUS EMRE,Park,Park,genellestirilmis
2797,Çatalca,Catalca,Manisa Parkı,41.1347116597055,28.4658381847499,FERHATPAŞA,FERHATPASA,Park,Park,genellestirilmis
2798,Sancaktepe,Sancaktepe,Mehmet Akif Ersoy Park,41.011572443644,29.2269287064708,ATATÜRK,ATATURK,Park,Park,genellestirilmis
2799,Çatalca,Catalca,İbrahim Kılıç Sok. Parkı,41.1493896386046,28.4492063396261,KALEİÇİ,KALEICI,Park,Park,genellestirilmis
2800,Sancaktepe,Sancaktepe,Şehit Bayram Okçu Parkı,40.9905477916162,29.2456580410966,OSMANGAZİ,OSMANGAZI,Park,Park,genellestirilmis
2801,Çatalca,Catalca,Erguvan Parkı,41.1297662327517,28.4692717644196,FERHATPAŞA,FERHATPASA,Park,Park,genellestirilmis
2802,Sancaktepe,Sancaktepe,Menekşe Parkı,40.9672889465928,29.2246859671381,AKPINAR,AKPINAR,Park,Park,genellestirilmis
2803,Çatalca,Catalca,Şair Arif Nihat Asya Parkı,41.1378031510287,28.4697570218076,FERHATPAŞA,FERHATPASA,Park,Park,genellestirilmis
2804,Sancaktepe,Sancaktepe,Pir Sultan Abdal Parkı,41.0108419327253,29.2120190235412,İNÖNÜ,INONU,Park,Park,genellestirilmis
2805,Sancaktepe,Sancaktepe,Fenerbahçe Parkı,40.9513692943235,29.2168929081632,FATİH,FATIH,Park,Park,genellestirilmis
2806,Sultanbeyli̇,Sultanbeyli,Mehmet Akif Ersoy Camii Parkı,40.9624534937335,29.2545321011981,ABDURRAHMANGAZİ,ABDURRAHMANGAZI,Park,Park,genellestirilmis
2807,Sultanbeyli̇,Sultanbeyli,Sevgi Parkı,40.941047169557,29.2900890979853,ORHANGAZİ,ORHANGAZI,Park,Park,genellestirilmis
2808,Sultanbeyli̇,Sultanbeyli,Park,40.9688881074756,29.2503037157648,HASANPAŞA,HASANPASA,Park,Park,genellestirilmis
2809,Beykoz,Beykoz,Şehit Er Murat Öndin Park,41.1056228136755,29.0918421474837,ÇUBUKLU,CUBUKLU,Park,Park,genellestirilmis
2810,Eyüpsultan,Eyupsultan,Ayetüllah Bey Parkı,41.0417400655991,28.9225689965018,TOPÇULAR,TOPCULAR,Park,Park,genellestirilmis
